;GOTOWE;ZLECENIE;PLIKI;NAZWA;połączenie;ILOŚĆ;ILOŚĆ PRZYRZĄDÓW;MATERIAŁ;DATA DRUKU;TERMIN ;OKŁADKA;ŚRODKI;FARBA;;;
1;;;;(  ) ;;;;;;;;;;FAŁSZ;(  ) ;(  ) 
2;;;;(  ) ;;;;;;;;;;FAŁSZ;(  ) ;(  ) 
3;;;;(  ) ;;;;;;;;;;FAŁSZ;(  ) ;(  ) 
4;;;;(  ) ;;;;;;;;;;FAŁSZ;(  ) ;(  ) 
5;;;;(  ) ;;;;;;;;;;FAŁSZ;( BRAK ) WWP 10 (b);( BRAK ) WWP 10 (b)
6;;;;(  ) ;;;;;;;;;;FAŁSZ;(  ) ;(  ) 
7;;;;(  ) ;;;;;;;;;;FAŁSZ;( BRAK ) SZEF PUBLIKACJA  (b);( BRAK ) SZEF PUBLIKACJA  (b)
8;;;;(  ) ;;;;;;;;;;FAŁSZ;( 21584 ) KALENDARZ ANMAR SJ CYFRA KRAFT (b);( 21584 ) KALENDARZ ANMAR SJ CYFRA KRAFT (b)
9;;;;(  ) ;;;;;;;;;;FAŁSZ;( 21605 ) ARPANEL (p);( 21605 ) ARPANEL (p)
10;;;;(  ) ;;;;;;;;;;FAŁSZ;( 21611 ) ASCO MB5/ST/B TERMINARZ (b);( 21611 ) ASCO MB5/ST/B TERMINARZ (b)
11;;;;(  ) ;;;;;;;;;;FAŁSZ;( 21612 ) SBB NOTES PUR 2024 (b);( 21612 ) SBB NOTES PUR 2024 (b)
12;;;;(  ) ;;;;;;;;;;FAŁSZ;0;0
13;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
14;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
15;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
16;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
17;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
18;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
19;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
20;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
21;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
22;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
23;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
24;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
25;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
26;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
27;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
28;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
29;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
31;SOMFY KALENDARZ ST st-1;;;(  ) ;;;;;;;;;;1;#N/D;
32;SPECOL KALENDARZ;;;(  ) ;;;;;;;;;;2;#N/D;
33;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
34;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
35;GMINA ŻORY KALENDARZ SJ OFFSET;;;(  ) ;;;2;TAK;ANONS TYDZ. 37;;KARTON GC-2 270G PLECY - 800ark. 700x500 ;PAPIER ST-2024 KREDA MATOWA 150G -600ark. 500x700 ;;3;#N/D;
36;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
37;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
38;CBJ KALENDARZ ST CYFRA;;;(  ) ;;;2;TAK;ANONS TYDZ. 37;;KARTON GC-2 270G PLECY - 200ark. 1000x700;PAPIER ST-2024 KREDA MATOWA 150G -400ark. 500x700 ;;4;#N/D;
39;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
40;;21583;NIE;( 21583 ) ANMAR KALENDARZ ST 2025 CYFRA (b);ANMAR KALENDARZ ST 2025 CYFRA;502;2;NA STANIE;;;KARTON GC-1 300G ORIENT BOARD PLECY - 280ark. 1000x700;KREDA MATOWA 150g - 450ark 500x700;;FAŁSZ;#N/D;
41;;;;(  ) ;;;;;;;;;;FAŁSZ;#N/D;
42;;BRAK;NIE;( BRAK ) ELAMED INNA PUBLIKACJA (b);ELAMED INNA PUBLIKACJA;;;TAK;ANONS 16-17.09.2024;;;;;FAŁSZ;#N/D;
